"filename", "language", "go", "Shell Script", "Batch", "Properties", "env", "Protocol Buffers", "Markdown", "Go Module File", "YAML", "Ini", "Go Checksum File", "JSON", "Makefile", "Ignore", "NGINX Conf", "Database", "comment", "blank", "total"
"d:\tmp\Open-IM-Server\.env", "env", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\tmp\Open-IM-Server\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 155
"d:\tmp\Open-IM-Server\cmd\open_im_api\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 10, 26
"d:\tmp\Open-IM-Server\cmd\open_im_api\docs\docs.go", "go", 8561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 8569
"d:\tmp\Open-IM-Server\cmd\open_im_api\docs\swagger.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8544, 0, 0, 0, 0, 0, 0, 8544
"d:\tmp\Open-IM-Server\cmd\open_im_api\docs\swagger.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 5624, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5625
"d:\tmp\Open-IM-Server\cmd\open_im_api\main.go", "go", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 6, 242
"d:\tmp\Open-IM-Server\cmd\open_im_cms_api\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 10, 26
"d:\tmp\Open-IM-Server\cmd\open_im_cms_api\main.go", "go", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\tmp\Open-IM-Server\cmd\open_im_cron_task\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 8, 24
"d:\tmp\Open-IM-Server\cmd\open_im_cron_task\main.go", "go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\tmp\Open-IM-Server\cmd\open_im_demo\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 10, 26
"d:\tmp\Open-IM-Server\cmd\open_im_demo\main.go", "go", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 81
